"id","user_id","card_name","set","condition","graded","asking_price","notes","offer_eligible","trade_eligible","tcg_mkt_price","ebay_mkt_price","grading_service","timestamp_created","active","grade_value"
3,3,"Porygon","Base Set","5",FALSE,11.12,"Let me know if you're interested!",TRUE,TRUE,33.33,44.44,,"2022-03-17 14:01:28.939247-05",TRUE,
1,1,"Magikarp","Base Set","2",TRUE,10,"It's a Karp, what else is there to say?",TRUE,FALSE,9.56,11.22,,"2022-03-17 14:01:28.939247-05",TRUE,
27,3,"Lugia","Neo Genesis","2",TRUE,145.01,"Pristine condition!",FALSE,TRUE,,,1,"2022-03-18 14:49:29.434422-05",TRUE,
2,1,"Ditto","Fossil","2",TRUE,69,"From Andy's personal collection",FALSE,TRUE,1.23,4.56,,"2022-03-17 14:01:28.939247-05",TRUE,
36,3,"Blaine's Charizard","Gym Challenge","1",FALSE,100,"Big Daddy Zard from gym challenge",TRUE,TRUE,,,4,"2022-03-25 10:39:50.22134-05",TRUE,
37,4,"Blaines Arcanine","Gym Challenge","1",FALSE,40,"The big ol fiery doge",TRUE,TRUE,,,5,"2022-03-26 16:24:35.798553-05",TRUE,
38,4,"Dragonite","Fossil","2",FALSE,30,,FALSE,FALSE,,,5,"2022-03-26 16:26:10.40616-05",TRUE,
39,4,"Misty's Magikarp","Gym Challenge","1",FALSE,3.99,,FALSE,FALSE,,,5,"2022-03-26 16:27:29.275697-05",TRUE,
40,4,"Giovanni's Magikarp","Gym Challenge","3",FALSE,5.99,,FALSE,FALSE,,,,"2022-03-26 16:28:13.88298-05",TRUE,
41,4,"Misty's Gyarados","Gym Challenge","1",FALSE,50,,FALSE,FALSE,,,,"2022-03-26 16:29:11.710825-05",TRUE,
42,4,"Dark Blastoise","Team Rocket","1",FALSE,100,,FALSE,FALSE,,,,"2022-03-26 16:30:04.415146-05",TRUE,
43,4,"Venusaur","Base Set","2",FALSE,45,,FALSE,FALSE,,,,"2022-03-26 16:30:48.251182-05",TRUE,
44,4,"Meowth","Jungle","3",FALSE,1,,FALSE,FALSE,,,,"2022-03-26 16:31:16.864155-05",TRUE,
45,4,"Scyther","Jungle","2",FALSE,45,,FALSE,FALSE,,,,"2022-03-26 16:31:42.429464-05",TRUE,
46,4,"Flareon","Jungle","1",FALSE,60,,FALSE,FALSE,,,,"2022-03-26 16:32:03.194208-05",TRUE,
47,4,"Jolteon","Jungle","3",FALSE,40,,FALSE,FALSE,,,,"2022-03-26 16:32:39.092263-05",TRUE,
48,4,"Vaporeon","Jungle","1",FALSE,12.5,,FALSE,FALSE,,,,"2022-03-26 16:33:23.05557-05",TRUE,
65,4,"Diglett","XY Evolutions","2",FALSE,3,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
49,4,"Eevee","Jungle","1",FALSE,9,,FALSE,FALSE,,,,"2022-03-26 16:33:46.40585-05",TRUE,
50,4,"Pikachu","Base Set","2",FALSE,8,,FALSE,FALSE,,,,"2022-03-26 16:34:55.620467-05",TRUE,
51,4,"Dragonair","Base Set","1",FALSE,30,,FALSE,FALSE,,,,"2022-03-26 16:34:55.620467-05",TRUE,
52,4,"Porygon","Team Rocket","2",FALSE,2,,FALSE,FALSE,,,,"2022-03-26 16:35:16.235358-05",TRUE,
53,4,"Koga's Ditto","Gym Challenge","3",FALSE,15,,FALSE,FALSE,,,,"2022-03-26 16:35:52.764291-05",TRUE,
4,1,"Pikachu","Jungle","1",FALSE,6.99,"Whats up guys, thanks for checkout out my card. I was hoping to make one MILLION dollars but I guess just 1 will do for now. Gotta catch em all, etc",TRUE,FALSE,2,3,,"2022-03-17 14:01:28.939247-05",TRUE,
54,4,"Rocket's Scyther","Gym Heroes","2",FALSE,42,,FALSE,FALSE,,,,"2022-03-26 16:37:39.620249-05",TRUE,
55,4,"Mewtwo","WOTC Promo","1",FALSE,10,,FALSE,FALSE,,,,"2022-03-26 16:37:39.620249-05",TRUE,
56,4,"Mewtwo","WOTC Promo","1",FALSE,12,,FALSE,FALSE,,,,"2022-03-26 16:37:39.620249-05",TRUE,
66,4,"Diglett","Team Rocket","1",FALSE,4,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
31,3,"Shining Magikarp","Neo Discovery","2",FALSE,200,"One of my Favorites",TRUE,FALSE,,,4,"2022-03-23 09:57:21.354318-05",TRUE,
35,3,"Charizard","Base Set","1",FALSE,1000,"Has been sitting in my closet for 20 years, it is in pack fresh condition. Let me know if you're interested, I need to pay rent!",TRUE,FALSE,,,2,"2022-03-25 10:21:03.482373-05",FALSE,
67,4,"Eevee","WOTC Promo","2",FALSE,15,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
32,3,"Magikarp","Team Rocket","2",FALSE,2.5,"its an okay karp",TRUE,TRUE,,,4,"2022-03-23 10:00:28.865266-05",TRUE,
57,4,"Charizard","Legendary Collection","2",FALSE,87,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
58,4,"Charizard","XY Evolutions","1",FALSE,1500,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
59,4,"Charizard","XY FlashFire","2",FALSE,30,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
60,4,"M Charizard EX","XY Evolutions","3",FALSE,75,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
68,4,"Light Arcanine","Neo Destiny","1",FALSE,165,,FALSE,FALSE,,,,"2022-03-27 15:00:37.59878-05",TRUE,
61,4,"Charizard","Expedition","1",FALSE,78,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
62,4,"Charizard VMAX","Darkness Ablaze","1",FALSE,200,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
63,4,"Charizard","Base Set","2",FALSE,800,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
64,4,"Charizard","Base Set","3",FALSE,720,,FALSE,FALSE,,,,"2022-03-26 19:39:56.962751-05",TRUE,
28,1,"Wooper","Neo Genesis","3",FALSE,10,"What a derp, one of my personal favorites!",FALSE,TRUE,,,4,"2022-03-19 15:31:10.210918-05",TRUE,
